username,password,admin,squadra,superadmin
superadmin,superadmin123,false,,true
user,user123,false,,false
admin_napoli,admin123,true,Napoli,false
admin_inter,admin123,true,Inter,false
admin_atalanta,admin123,true,Atalanta,false
admin_juve,admin123,true,Juventus,false
admin_roma,admin123,true,Roma,false
admin_fiorentina,admin123,true,Fiorentina,false
admin_lazio,admin123,true,Lazio,false
admin_milan,admin123,true,Milan,false
admin_bologna,admin123,true,Bologna,false
admin_como,admin123,true,Como,false
admin_genoa,admin123,true,Genoa,false
admin_torino,admin123,true,Torino,false
admin_udinese,admin123,true,Udinese,false
admin_cagliari,admin123,true,Cagliari,false
admin_verona,admin123,true,Verona,false
admin_lecce,admin123,true,Lecce,false
admin_parma,admin123,true,Parma,false
admin_monza,admin123,true,Monza,false
admin_empoli,admin123,true,Empoli,false
admin_venezia,admin123,true,Venezia,false
